"","DateT","Sighting_no","StartPos","Min","Best","Max","Dist","Bearing","PS","Behaviour","Species.x","Pic_no","EndPos","Grp_no","Biopsy","Comments","TimeEnd","elemk","typdat","varn","pdat","Latitude_decimal","Longitude_decimal","id","Genus","lat_name","Species.y","dist","Date","SST_6am","time_diff","wind_speed","visibility"
"1",2021-08-10 13:47:00,5,"44d21.9395N 61d21.0084W",10,15,20,300,5,"S","Trav","pilot whale","C1:     C2:","44d21.8523N 61d20.5147W",1,"No","na",2021-08-10 13:52:00,NA,NA,NA,NA,44.3656583333333,61.35014,1,"Glob","Globicephala melas","pilot whale",0,2021-08-10,NA,1.23333333333333,5.9,5
"2",2021-08-11 17:43:00,8,"44d2.9578N 59d5.6842W",1,1,1,800,15,"S",NA,"sperm whale","C1:     C2:","d  d",1,"No","na",2021-08-11 17:45:00,NA,NA,NA,NA,44.0492966666667,59.0947366666667,2,"Pho","Physeter macrocephalus","sperm whale",0,2021-08-11,18.1,20,14,0.5
"3",2021-08-11 19:31:00,11,"43d58.7725N 58d58.717W",1,1,1,200,90,"P",NA,"northern bottlenose","C1:     C2:","d  d",1,"No","na",2021-08-11 19:38:00,NA,NA,NA,NA,43.9795416666667,58.9786166666667,3,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-11,18.1,1.46666666666667,14,0.5
"4",2021-08-11 20:17:00,12,"43d56.5067N 58d58.7388W",6,8,12,5,0,"P","Bow","atlantic white side","C1:     C2:","d  d",1,"No","na",2021-08-11 20:19:00,NA,NA,NA,NA,43.9417783333333,58.97898,4,"Lag","Lagenorhynchus acutus","atlantic white-sided dolphin",0.151002506265664,2021-08-11,18.1,46,5,0
"5",2021-08-11 20:23:00,13,"43d56.1845N 58d58.7287W",1,2,3,20,120,"P",NA,"atlantic white side","C1:     C2:","43d55.5942N 58d58.4998W",1,"No","na",2021-08-11 20:34:00,NA,NA,NA,NA,43.9364083333333,58.9788116666667,5,"Lag","Lagenorhynchus acutus","atlantic white-sided dolphin",0.151002506265664,2021-08-11,18.1,40,5,0
"6",2021-08-12 06:14:00,16,"43d50.2486N 58d53.1283W",7,7,7,50,110,"P","Rest","northern bottlenose","C1:   4427-4448  C2:2080-2113","43d49.9402N 58d53.2286W",1,"No","na",2021-08-12 06:44:00,NA,NA,NA,NA,43.8374766666667,58.8854716666667,6,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-12,18.7,9,2.5,0.2
"7",2021-08-12 06:45:00,18,"43d49.9321N 58d53.1183W",4,4,4,5,160,"P","Social Mill","northern bottlenose","C1:     C2:","d  d",1,"No","na",2021-08-12 06:53:00,NA,NA,NA,NA,43.8322016666667,58.885305,7,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-12,18.7,40,2.5,0.2
"8",2021-08-12 07:35:00,20,"43d50.3115N 58d53.1414W",1,1,1,80,20,"S","Trav Mill","northern bottlenose","C1:     C2:","43d50.301N 58d53.1425W",1,"No","na",2021-08-12 07:38:00,NA,NA,NA,NA,43.838525,58.88569,8,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-12,18.7,1.5,2.5,0.2
"9",2021-08-12 08:18:00,21,"43d51.4569N 58d54.4997W",2,2,2,20,30,"P","Social Mill","northern bottlenose","C1:   4511-4532  C2:2251-2336","43d51.4921N 58d54.4153W",1,"No","na",2021-08-12 08:08:29,NA,NA,NA,NA,43.857615,58.9083283333333,9,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-12,18.7,53,4.8,0.1
"10",2021-08-12 08:41:00,22,"43d51.4556N 58d54.3093W",2,2,2,400,120,"S",NA,"northern bottlenose","C1:4533-4587     C2:2338-2440","43d51.4371N 58d54.891W",1,"No","na",2021-08-12 09:12:00,NA,NA,NA,NA,43.8575933333333,58.905155,10,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-12,18.7,30,4.8,0.1
"11",2021-08-12 09:27:00,23,"43d51.16N 58d54.6061W",1,1,1,250,90,"P","Trav","northern bottlenose","C1:     C2:","d  d",1,"No","na",2021-08-12 10:00:00,NA,NA,NA,NA,43.8526666666667,58.9101016666667,11,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-12,18.7,16,4.8,0.1
"12",2021-08-12 11:45:00,24,"43d55.1793N 58d58.3085W",6,8,10,500,40,"S","Trav Rest","pilot whale","C1:     C2:","d  d",1,"No","na",2021-08-12 11:53:00,NA,NA,NA,NA,43.919655,58.9718083333333,12,"Glob","Globicephala melas","pilot whale",0,2021-08-12,18.7,18,6,3
"13",2021-08-12 15:29:00,25,"43d51.7681N 58d54.665W",4,4,4,20,160,"S","Mill","northern bottlenose","C1:   4588-4609  C2:2443-2480","43d51.747N 58d54.4701W",1,"No","na",2021-08-12 15:38:00,NA,NA,NA,NA,43.8628016666667,58.9110833333333,13,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-12,18.7,26,7,0.1
"14",2021-08-12 16:28:00,26,"43d52.9194N 58d55.972W",2,2,12,20,160,"P","Trav","northern bottlenose","C1:  4710-4615   C2:2482-2509","43d52.8382N 58d55.9798W",1,"No","na",2021-08-12 16:35:00,NA,NA,NA,NA,43.88199,58.9328666666667,14,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-12,18.7,1.41666666666667,7,0.1
"15",2021-08-12 17:12:00,27,"43d53.7553N 58d56.669W",8,8,10,300,0,"P","Trav","pilot whale","C1:     C2:","43d53.8474N 58d56.6916W",1,"No","na",2021-08-12 17:15:00,NA,NA,NA,NA,43.8959216666667,58.9444833333333,15,"Glob","Globicephala melas","pilot whale",0,2021-08-12,18.7,53,5.4,0.2
"16",2021-08-12 18:31:00,28,"43d56.4769N 58d58.4331W",1,1,1,100,100,"P",NA,"northern bottlenose","C1:     C2:","d  d",1,"No","na",2021-08-12 18:35:00,NA,NA,NA,NA,43.9412816666667,58.973885,16,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-12,18.7,26,5.4,0.2
