"","X","Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Species","Volume","Channels","Comment","Potential_for_screening","UTC_posix","wav_file_name","wav_file_path","odontocete_flag","odontocete_sp","time_diff","wind_speed","visibility","high_wind","bad_vis"
"1",63,63,"2021-08-12 09:30:11.305",305,"2021-08-12 06:30:11.305","2021-08-12 09:30:11.305",0,"",-1,3,"engone pff. BNW milling                           ","yes","2021-08-12 09:30:11","BKW21_20210812_092932_032.wav","/Volumes/NBW_audio/NBW_2021_08_audio_backup_b/20210812/BKW21_20210812_092932_032.wav",FALSE,NA,25.1884166677793,2.5,0.2,FALSE,TRUE
"2",93,93,"2021-08-12 11:34:05.173",173,"2021-08-12 08:34:05.173","2021-08-12 11:34:05.173",0,"",-1,3,"doublets/ triplets with two nbw dove at surface   ","yes","2021-08-12 11:34:05","BKW21_20210812_113045_960.wav","/Volumes/NBW_audio/NBW_2021_08_audio_backup_b/20210812/BKW21_20210812_113045_960.wav",FALSE,NA,36.9137833317121,4.8,0.1,FALSE,TRUE
"3",95,95,"2021-08-12 12:10:30.368",368,"2021-08-12 09:10:30.368","2021-08-12 12:10:30.368",0,"",-1,3,"doublets with male and female/J at surface just d ","yes","2021-08-12 12:10:30","BKW21_20210812_120936_128.wav","/Volumes/NBW_audio/NBW_2021_08_audio_backup_b/20210812/BKW21_20210812_120936_128.wav",FALSE,NA,29.6319999694824,4.8,0.1,FALSE,TRUE
"4",157,157,"2021-08-12 18:34:02.576",576,"2021-08-12 15:34:02.576","2021-08-12 18:34:02.576",0,"",-1,3,"NBW patterns - possible - rolling around the boat ","yes","2021-08-12 18:34:02","BKW21_20210812_183151_463.wav","/Volumes/NBW_audio/NBW_2021_08_audio_backup_b/20210812/BKW21_20210812_183151_463.wav",FALSE,NA,31.0429333329201,7,0.1,FALSE,TRUE
"5",159,159,"2021-08-12 18:34:55.106",106,"2021-08-12 15:34:55.106","2021-08-12 18:34:55.106",0,"",-1,3,"extremely loud clicks, some buzzes                ","yes","2021-08-12 18:34:55","BKW21_20210812_183151_463.wav","/Volumes/NBW_audio/NBW_2021_08_audio_backup_b/20210812/BKW21_20210812_183151_463.wav",FALSE,NA,31.9184333324432,7,0.1,FALSE,TRUE
"6",160,160,"2021-08-12 18:35:44.168",168,"2021-08-12 15:35:44.168","2021-08-12 18:35:44.168",0,"",-1,3,"buzzing                                           ","yes","2021-08-12 18:35:44","BKW21_20210812_183532_948.wav","/Volumes/NBW_audio/NBW_2021_08_audio_backup_b/20210812/BKW21_20210812_183532_948.wav",FALSE,NA,32.7361333330472,7,0.1,FALSE,TRUE
"7",161,161,"2021-08-12 18:37:47.681",681,"2021-08-12 15:37:47.681","2021-08-12 18:37:47.681",0,"Other Noise                                       ",4,3,"tailslapping, buzzing, raspberries                ","yes","2021-08-12 18:37:47","BKW21_20210812_183532_948.wav","/Volumes/NBW_audio/NBW_2021_08_audio_backup_b/20210812/BKW21_20210812_183532_948.wav",FALSE,NA,34.794683333238,7,0.1,FALSE,TRUE
"8",210,210,"2021-08-12 22:32:21.633",633,"2021-08-12 19:32:21.633","2021-08-12 22:32:21.633",0,"",-1,3,"lots of buzzing and whistling                     ","yes","2021-08-12 22:32:21","BKW21_20210812_222756_867.wav","/Volumes/NBW_audio/NBW_2021_08_audio_backup_b/20210812/BKW21_20210812_222756_867.wav",TRUE,"Delphinus delphis",25.3605499982834,7.2,0.1,FALSE,TRUE
"9",246,246,"2021-08-13 14:09:35.335",335,"2021-08-13 11:09:35.335","2021-08-13 14:09:35.335",0,"NBW                                               ",3,3,"possible doublets in the file                     ","yes","2021-08-13 14:09:35","BKW21_20210813_140637_633.wav","/Volumes/NBW_audio/NBW_2021_08_audio_backup_b/20210813/BKW21_20210813_140637_633.wav",FALSE,NA,52.4110833326976,12,0.5,FALSE,TRUE
"10",296,296,"2021-08-13 17:57:12.579",579,"2021-08-13 14:57:12.579","2021-08-13 17:57:12.579",0,"",-1,3,"doublets?                                         ","yes","2021-08-13 17:57:12","BKW21_20210813_174956_104.wav","/Volumes/NBW_audio/NBW_2021_08_audio_backup_b/20210813/BKW21_20210813_174956_104.wav",FALSE,NA,7.79035000006358,16.4,4,FALSE,FALSE
